Scientific Name,Common Names,Category
Alces alces,Moose,Mammal
Odocoileus virginianus,"Northern White-Tailed Deer, Virginia Deer, White-Tailed Deer",Mammal
Canis latrans,"Coyote, Eastern Coyote",Mammal
Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",Mammal
Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",Mammal
Lynx canadensis,Canada Lynx,Mammal
Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",Mammal
Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",Mammal
Lutra canadensis,"Otter, River Otter",Mammal
Martes pennanti,"Blackcat, Fisher, Pekan",Mammal
Mustela,Weasel,Mammal
Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel",Mammal
Mustela frenata,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel",Mammal
Mustela macrodon,"Ancient Sea Mink, Big Sea Mink, Sea Mink",Mammal
Mustela vison,"American Mink, Mink",Mammal
Odobenus rosmarus,Walrus,Mammal
Halichoerus grypus,Gray Seal,Mammal
Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",Mammal
Procyon lotor,"Common Raccoon, Raccoon",Mammal
Ursus americanus,Black Bear,Mammal
Eptesicus fuscus,Black Bear,Mammal
Lasionycteris noctivagans,Silver-Haired Bat,Mammal
Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",Mammal
Lasiurus cinereus,Hoary Bat,Mammal
Myotis keenii,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat",Mammal
Myotis leibii,"Eastern Small-Footed Myotis, Small-Footed Myotis",Mammal
Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Mammal
Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",Mammal
Lepus americanus,"Snowshoe Hare, Varying Hare",Mammal
Castor canadensis,"American Beaver, Beaver, Canadian Beaver",Mammal
Clethrionomys gapperi,"Boreal Redback Vole, Red-Backed Mouse, Red-Backed Vole, Southern Red-Backed Vole, White-Mountain Red-Backed Mouse",Mammal
Microtus pennsylvanicus,"Field Mouse, Meadow Mouse, Meadow Vole",Mammal
Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",Mammal
Peromyscus leucopus,White-Footed Mouse,Mammal
Peromyscus maniculatus,Deer Mouse,Mammal
Synaptomys cooperi,"Cooper Lemming Mouse, Southern Bog Lemming",Mammal
Napaeozapus insignis,Woodland Jumping Mouse,Mammal
Zapus hudsonius,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",Mammal
Erethizon dorsatum,"Hedgehog, Porcupine",Mammal
Mus musculus,House Mouse,Mammal
Rattus norvegicus,"Brown Rat, Norway Rat",Mammal
Glaucomys,Glaucomys Sp.,Mammal
Glaucomys sabrinus,"Mearns Flying Squirrel, Northern Flying Squirrel",Mammal
Glaucomys volans,Southern Flying Squirrel,Mammal
